Age CE	PC1	PC2	Period
1995	-0.8576669133679105	1.2846152486342464	CWP
1988	0.725696695402563	12.241490439162932	CWP
1981	-0.23559888542166407	2.0870989275756964	CWP
1967	-0.946469494085536	1.9169771163176335	CWP
1954	-1.3964503311430099	2.734889585125884	CWP
1947	0.539721843138805	3.0847002161169663	CWP
1940	1.4893301141777737	4.46472145488465	CWP
1926	0.2897593909905469	9.75418408448585	CWP
1919	-0.2525819180221228	3.19093219323798	CWP
1912	-0.3820589004689664	1.4413208985094557	CWP
1905	-0.9063098774704945	4.94206168224183	CWP
1899	0.31984754453849634	1.6020273228794937	CWP
1892	-1.1715020834664045	2.591810802927098	CWP
1885	-0.2379514186333844	2.9737853427756087	CWP
1878	0.31457572097740205	2.845057418395699	CWP
1857	-1.045950369118752	1.0251155171706412	CWP
1844	0.09307534332528905	0.1405647286309858	LIA
1830	-0.8880386697755054	-0.2576708087153033	LIA
1816	-0.6791743271756036	0.22348502129771788	LIA
1802	-0.8019153361386144	0.2138542523254696	LIA
1789	0.1991072083502287	0.40036446746484083	LIA
1775	-0.39010404597761017	0.2926651323702342	LIA
1761	1.177224118329092	-0.12221989297080167	LIA
1747	1.5602562217856595	-0.5115753121563582	LIA
1734	1.8958307895795397	-0.8953076012570105	LIA
1719	2.7637448285676194	-1.15694450049455	LIA
1703	2.4846161831257625	-1.311611970152135	LIA
1687	3.4425180311551142	-1.8374483142940514	LIA
1670	2.995377828141107	-1.195098344271202	LIA
1653	3.1170326042031027	-1.3561758240868087	LIA
1636	2.9897757982259567	-0.9321911392567541	LIA
1619	4.748025724364098	-0.7395355108834621	LIA
1602	3.8569115747688367	-1.0183303692878947	LIA
1586	3.9807411939994064	-1.1273492261351477	LIA
1552	6.258285546939787	-1.9354811666030485	LIA
1518	-2.665616386353064	-0.9614158295521685	LIA
1502	3.8215337794721944	0.6899801806480732	LIA
1485	2.200267023701497	0.42758059422138667	LIA
1451	2.842272936503415	-0.1318581743769397	LIA
1434	0.4716098265647686	-0.724209518568798	LIA
1401	3.892037769789442	-1.5808483718475161	LIA
1384	-0.45611226919097764	-1.8654412610540292	MCA
1367	-1.0682702896745433	-1.3409169672985768	MCA
1350	-1.4642617298711658	0.9298665364706384	MCA
1332	-1.7063594221604454	-1.4932347025361152	MCA
1307	-2.5048693199437317	-1.1172027821453974	MCA
1282	-0.6645584233230173	0.45774369608743065	MCA
1256	-2.8103656825830337	-1.0043111560201752	MCA
1231	-1.3882631521075408	-0.859861087300155	MCA
1183	-3.4690004075346974	-0.18739726959376168	MCA
1158	-4.7068060730524435	-1.3863377054030361	MCA
1107	-4.3396614676403935	-1.9947808077729772	MCA
1082	-4.423821115358711	-1.9663577692770806	MCA
1056	-3.6313479210177055	-1.5498038129854173	MCA
955	-2.512078396566563	-0.7661209688524853	MCA
929	-5.807544182460342	-2.49339742673697	MCA
904	-3.9658140304025995	-1.969121880991615	MCA
879	-3.3699392200262706	-1.2179976288875576	Unknown
855	-3.1119578311520772	-0.2237731403336625	Unknown
830	-3.8670623337462473	-1.0989812038190288	Unknown
805	-3.045651808152223	-1.0730141168057405	Unknown
780	-3.5799459130682036	-1.5402393186105579	Unknown
756	-2.5799516580728312	-1.03546629680065	Unknown
731	-2.1281414208050724	-0.975667233886328	Unknown
710	-1.870592247185262	-0.801561632097938	Unknown
687	-1.6798668251415896	-0.7075753343686835	S&TWP
667	-1.3308152423571655	-0.7132195245669284	S&TWP
646	-1.6934595632919116	-0.0824211797982531	S&TWP
625	-1.0023869163039976	-0.3131438968089164	S&TWP
604	-1.0956479881092085	0.11328249225338444	S&TWP
584	-0.9196671520383471	0.10669197156374813	S&TWP
562	-1.370499565422337	0.33789025813162604	S&TWP
542	-1.6549760122124568	0.06777029132073521	DACP
522	-1.0312170748872307	-0.11851364925826567	DACP
502	-0.5927058098449531	-0.8125381749640351	DACP
483	0.6678693841835953	-0.7846792517628948	DACP
465	1.952936305019916	-0.634224007477867	DACP
447	1.724919057076129	-0.5483708573099851	DACP
429	2.755927969116506	-1.5617126787588056	DACP
411	3.0251970612800605	-1.729278245193408	DACP
394	2.395876806782342	-1.3661589385073811	DACP
377	3.287229571058551	-1.7799020803150378	DACP
351	3.8268083213639357	-2.141178166208511	DACP
326	2.7593652298902813	-1.3130726118112694	DACP
309	4.750324302215944	-1.295071966693849	DACP
291	2.69114190237364	-1.7055508888835413	DACP
273	4.414151510719748	-2.157342935632566	DACP
255	1.7385894160349333	-0.7337742356515563	DACP
237	-1.4663647528161416	-0.02313313062626533	DACP
220	-1.5856560633711623	-0.1458608967223475	DACP
203	-1.2515478678170016	-0.025927740243801883	DACP
185	-1.4814974405957901	-0.2705923019391734	RWP
167	-1.8353013869513108	-0.22168986918563846	RWP
133	-0.47205817686359197	0.7395934907898881	RWP
97	2.3748584386105493	1.0205354722926896	RWP
79	3.7302798859586765	1.9461782269953412	RWP
71	1.2287823079366114	0.6523555435023216	RWP
